"fixtureId","category","calendar","birthDate","birthTime","timePrecision","gender","timezone","location","selectionReason","expertAStrengthAssessment","expertASeasonalAssessment","expertAStructureAssessment","expertAUsefulElement","expertAFavorableElements","expertACautiousElements","expertAReasoning","expertAConfidence","expertBStrengthAssessment","expertBSeasonalAssessment","expertBStructureAssessment","expertBUsefulElement","expertBFavorableElements","expertBCautiousElements","expertBReasoning","expertBConfidence","agreementStatus","conflictingFields","adjudicationRequired","finalPolicyDecision","interpretationPolicyVersion"
"solar-general-001","solar-general","solar-regular","1992-09-09","10:24","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-002","solar-general","solar-regular","1960-01-01","00:30","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-003","solar-general","solar-regular","1964-02-29","06:15","exact","female","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-004","solar-general","solar-regular","1968-07-20","21:40","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-005","solar-general","solar-regular","1970-12-31","23:20","exact","female","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-006","solar-general","solar-regular","1972-02-29","14:05","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-007","solar-general","solar-regular","1975-05-18","03:12","exact","female","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-008","solar-general","solar-regular","1977-11-07","17:45","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-009","solar-general","solar-regular","1980-02-29","09:00","exact","female","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-010","solar-general","solar-regular","1981-08-15","11:11","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-011","solar-general","solar-regular","1983-10-03","19:20","exact","female","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-012","solar-general","solar-regular","1984-04-04","04:44","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-013","solar-general","solar-regular","1985-12-25","22:10","exact","female","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-014","solar-general","solar-regular","1987-06-10","13:35","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-015","solar-general","solar-regular","1988-02-29","18:25","exact","female","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-016","solar-general","solar-regular","1989-09-30","07:50","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-017","solar-general","solar-regular","1990-01-01","12:30","exact","female","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-018","solar-general","solar-regular","1991-03-21","05:05","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-019","solar-general","solar-regular","1993-11-19","16:40","exact","female","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"solar-general-020","solar-general","solar-regular","1994-07-07","20:20","exact","male","Asia/Seoul","서울특별시","solar-general","","","","","","","","","","","","","","","","","","","","",""
"lunar-regular-001","lunar-regular","lunar-regular","1992-08-13","10:24","exact","male","Asia/Seoul","서울특별시","lunar-regular","","","","","","","","","","","","","","","","","","","","",""
"lunar-regular-002","lunar-regular","lunar-regular","1965-01-01","09:10","exact","female","Asia/Seoul","서울특별시","lunar-regular","","","","","","","","","","","","","","","","","","","","",""
"lunar-regular-003","lunar-regular","lunar-regular","1970-03-15","15:30","exact","male","Asia/Seoul","서울특별시","lunar-regular","","","","","","","","","","","","","","","","","","","","",""
"lunar-regular-004","lunar-regular","lunar-regular","1975-05-05","05:40","exact","female","Asia/Seoul","서울특별시","lunar-regular","","","","","","","","","","","","","","","","","","","","",""
"lunar-regular-005","lunar-regular","lunar-regular","1980-07-07","20:10","exact","male","Asia/Seoul","서울특별시","lunar-regular","","","","","","","","","","","","","","","","","","","","",""
"lunar-regular-006","lunar-regular","lunar-regular","1984-12-12","11:20","exact","female","Asia/Seoul","서울특별시","lunar-regular","","","","","","","","","","","","","","","","","","","","",""
"lunar-regular-007","lunar-regular","lunar-regular","1988-01-15","02:45","exact","male","Asia/Seoul","서울특별시","lunar-regular","","","","","","","","","","","","","","","","","","","","",""
"lunar-regular-008","lunar-regular","lunar-regular","1990-04-08","18:05","exact","female","Asia/Seoul","서울특별시","lunar-regular","","","","","","","","","","","","","","","","","","","","",""
"lunar-leap-001","lunar-leap","lunar-leap","2023-02-01","09:36","exact","female","Asia/Seoul","서울특별시","lunar-leap","","","","","","","","","","","","","","","","","","","","",""
"lunar-leap-002","lunar-leap","lunar-leap","2020-04-01","13:20","exact","male","Asia/Seoul","서울특별시","lunar-leap","","","","","","","","","","","","","","","","","","","","",""
"lunar-leap-004","lunar-leap","lunar-leap","2014-09-05","03:15","exact","male","Asia/Seoul","서울특별시","lunar-leap","","","","","","","","","","","","","","","","","","","","",""
"lunar-leap-006","lunar-leap","lunar-leap","2009-05-08","06:30","exact","male","Asia/Seoul","서울특별시","lunar-leap","","","","","","","","","","","","","","","","","","","","",""
"solar-term-001","solar-term-boundary","solar-regular","2024-02-04","17:26","exact","male","Asia/Seoul","서울특별시","solar-term-boundary","","","","","","","","","","","","","","","","","","","","",""
"solar-term-002","solar-term-boundary","solar-regular","2024-02-04","17:28","exact","male","Asia/Seoul","서울특별시","solar-term-boundary","","","","","","","","","","","","","","","","","","","","",""
"solar-term-003","solar-term-boundary","solar-regular","2024-03-05","11:22","exact","female","Asia/Seoul","서울특별시","solar-term-boundary","","","","","","","","","","","","","","","","","","","","",""
"solar-term-004","solar-term-boundary","solar-regular","2024-03-05","11:24","exact","female","Asia/Seoul","서울특별시","solar-term-boundary","","","","","","","","","","","","","","","","","","","","",""
"solar-term-005","solar-term-boundary","solar-regular","2024-04-04","16:01","exact","male","Asia/Seoul","서울특별시","solar-term-boundary","","","","","","","","","","","","","","","","","","","","",""
"solar-term-006","solar-term-boundary","solar-regular","2024-04-04","16:03","exact","male","Asia/Seoul","서울특별시","solar-term-boundary","","","","","","","","","","","","","","","","","","","","",""
"day-boundary-001","day-boundary","solar-regular","1992-09-09","22:59","exact","male","Asia/Seoul","서울특별시","day-boundary","","","","","","","","","","","","","","","","","","","","",""
"day-boundary-002","day-boundary","solar-regular","1992-09-09","23:00","exact","male","Asia/Seoul","서울특별시","day-boundary","","","","","","","","","","","","","","","","","","","","",""
"day-boundary-003","day-boundary","solar-regular","1992-09-09","23:59","exact","male","Asia/Seoul","서울특별시","day-boundary","","","","","","","","","","","","","","","","","","","","",""
"day-boundary-004","day-boundary","solar-regular","1992-09-09","00:00","exact","male","Asia/Seoul","서울특별시","day-boundary","","","","","","","","","","","","","","","","","","","","",""
"time-uncertainty-001","time-uncertainty","solar-regular","1992-09-09","시간 미상","unknown","male","Asia/Seoul","서울특별시","time-uncertainty","","","","","","","","","","","","","","","","","","","","",""
"time-uncertainty-002","time-uncertainty","solar-regular","2024-02-04","시간 미상","unknown","female","Asia/Seoul","서울특별시","time-uncertainty","","","","","","","","","","","","","","","","","","","","",""
"time-uncertainty-003","time-uncertainty","lunar-regular","1992-08-13","시간 미상","unknown","male","Asia/Seoul","서울특별시","time-uncertainty","","","","","","","","","","","","","","","","","","","","",""
"time-uncertainty-004","time-uncertainty","solar-regular","1988-05-15","시간 미상","unknown","female","UTC","UTC","time-uncertainty","","","","","","","","","","","","","","","","","","","","",""
"timezone-solar-001","timezone-solar-time","solar-regular","1992-09-09","01:24","exact","male","UTC","UTC 기준","timezone-solar-time","","","","","","","","","","","","","","","","","","","","",""
"timezone-solar-002","timezone-solar-time","solar-regular","2024-03-10","01:59","exact","female","America/New_York","뉴욕 DST 직전","timezone-solar-time","","","","","","","","","","","","","","","","","","","","",""
"dayun-boundary-001","dayun-boundary","solar-regular","1990-01-01","12:30","exact","male","Asia/Seoul","서울특별시","dayun-boundary","","","","","","","","","","","","","","","","","","","","",""
"dayun-boundary-002","dayun-boundary","solar-regular","1990-01-01","12:30","exact","female","Asia/Seoul","서울특별시","dayun-boundary","","","","","","","","","","","","","","","","","","","","",""
